Environment,SarCategory,Response,date,LocationFindLocationLatitude,LocationFindLocationLongitude
Land,Cat1,SAROP,2016-08-01,-39.924573,175.051901
Land,Cat1,SAROP,2016-03-01,-36.3315028,175.4716658
Land,Cat1,SAROP,2014-04-01,-36.9456416,174.5966067
Land,Cat1,SAROP,2010-12-01,-44.49650609,168.7438162
Land,Cat1,SAROP,2018-04-01,-41.115613,174.82714
Land,Cat1,SAROP,2011-02-01,-39.54936062,174.5440614
Land,Cat1,SAROP,2011-01-01,-41.08585299,172.7328804
Land,Cat1,SAROP,2013-11-01,-45.0809401,168.7979705
Land,Cat1,SAROP,2017-08-01,-41.256273,174.859542
Land,Cat1,SAROP,2011-04-01,-37.62936687,176.1855421
Marine,Cat1,SAROP,2018-01-01,-36.832731,174.887962
Land,Cat1,SAROP,2013-04-01,-37.8219359,174.8088267
Land,Cat1,SAROP,2017-01-01,-36.95553,174.468523
Land,Cat1,SAROP,2017-01-01,-36.955601,174.468609
Land,Cat1,SAROP,2013-01-01,-45.1913491,167.8278369
Marine,Cat1,SAROP,2014-10-01,-35.7508306,174.5526718
Land,Cat1,SAROP,2016-02-01,-43.569281,172.767662
Land,Cat1,SAROP,2017-11-01,-36.780198,175.043022
Land,Cat1,SAROP,2017-12-01,-43.600574,172.721615
Land,Cat1,SAROP,2012-08-01,-43.5671589,172.7597415
Land,Cat1,SAROP,2015-06-01,-36.720186,174.557582
Land,Cat1,SAROP,2010-07-01,-40.2369996,175.5978989
Land,Cat1,SAROP,2011-02-01,-41.96842866,172.6946122
Land,Cat1,SAROP,2017-01-01,-36.834739,174.743527
Land,Cat1,SAROP,2013-03-01,-35.4486859,174.7322293
Land,Cat1,SAROP,2013-10-01,-44.0373804,171.797064
Marine,Cat1,SAROP,2018-01-01,-37.230309,175.392236
Marine,Cat1,SAROP,2015-11-01,-36.816667,174.983333
Land,Cat1,SAROP,2017-01-01,-37.003,174.603131
Land,Cat1,SAROP,2018-11-01,-39.142959,175.593687
Land,Cat1,SAROP,2018-12-01,-41.38798,174.87119
Land,Cat1,SAROP,2014-06-01,-36.909372,174.645054
Marine,Cat1,SAROP,2010-07-01,-37.0233302,175.9400054
Land,Cat1,SAROP,2012-02-01,-36.8555827,174.8939265
Land,Cat1,SAROP,2014-04-01,-41.4618778,173.3700077
Land,Cat1,SAROP,2017-07-01,-45.092191,170.967967
Land,Cat1,SAROP,2016-09-01,-38.208916,176.378117
Land,Cat1,SAROP,2015-11-01,-36.623418,174.76806
Land,Cat1,SAROP,2018-03-01,-37.400862,175.148978
Land,Cat1,SAROP,2015-01-01,-41.968758,172.690729
Land,Cat1,SAROP,2015-06-01,-35.796549,174.408786
Land,Cat1,SAROP,2016-08-01,-43.390805,172.703523
Land,Cat1,SAROP,2018-12-01,-41.3342753,173.8736715
Marine,Cat1,SAROP,2014-11-01,-36.875,175.089798
Land,Cat1,SAROP,2017-06-01,-40.758689,175.138604
Land,Cat1,SAROP,2010-12-01,-35.615512,174.530354
